File name,Literal,Label,Code
cell=VT_1909_01_T-S0-A152,"Heerenveen, Ziekeninrichting",aengwirden,10157
cell=VT_1909_01_T-S0-A153,"Heerenveen, Huis van Bewaring",aengwirden,10157
cell=VT_1909_01_T-S0-A154,"Heerenveen, Marechaussee kazerne",aengwirden,10157
cell=VT_1909_01_T-S0-A155,"Heerenveen, Overige huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A156,"Schans, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A157,"Terband, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A158,"Langeland, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A159,"Nieuwebrug, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A160,"Grootschar, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A161,"Spitzendijk, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A162,"Luinjeberd, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A163,"t Meer, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A164,"Tjalleberd, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A165,"t Meer, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A166,"Zestienroeden, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A167,"Gersloot, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A168,"Oudewegster polder, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A169,"Polder Opsterland, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A170,"Kleine Zee, Huizen",aengwirden,10157
cell=VT_1909_01_T-S0-A171,Schepen,aengwirden,10157
cell=VT_1909_01_T-S0-A172,Tijd. Aanw. schepen,aengwirden,10157
cell=VT_1909_01_T-S0-A173,Ark,aengwirden,10157
cell=VT_1909_01_T-S0-A174,Totaal,aengwirden,10157
cell=VT_1909_01_T-S0-A175,AKERSLOOT,akersloot,10346
cell=VT_1909_01_T-S0-A176,"Schermeer, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A177,"Kogerpolder, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A178,"Starnmeer, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A179,"Stierp, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A180,"Woude, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A181,"Boekel, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A182,"Hooge Geest, Algemeen Armenhuis (mannen)",akersloot,10346
cell=VT_1909_01_T-S0-A183,"Hooge Geest, Overige huizen",akersloot,10346
cell=VT_1909_01_T-S0-A184,"Kerkbuurt, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A185,"Starting, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A186,"Sluisbuurt, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A187,"Kerkdijk, Algemeen Armenhuis (vrouwen)",akersloot,10346
cell=VT_1909_01_T-S0-A188,"Kerkdijk, Overige huizen",akersloot,10346
cell=VT_1909_01_T-S0-A189,"Molenbuurt, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A190,"Boekelerweg, Huizen",akersloot,10346
cell=VT_1909_01_T-S0-A191,Totaal,akersloot,10346
cell=VT_1909_01_T-S0-A192,OUD-ALBLAS,oud-alblas,10826
cell=VT_1909_01_T-S0-A193,Huizen,oud-alblas,10826
cell=VT_1909_01_T-S0-A194,Totaal,oud-alblas,10826
cell=VT_1909_01_T-S0-A195,ALBLASSERDAM,alblasserdam,11327
cell=VT_1909_01_T-S0-A196,Wijk A. Huizen,alblasserdam,11327
cell=VT_1909_01_T-S0-A197,Wijk B. Huizen,alblasserdam,11327
cell=VT_1909_01_T-S0-A198,Wijk C. Huizen,alblasserdam,11327
cell=VT_1909_01_T-S0-A199,Wijk D. Huizen,alblasserdam,11327
cell=VT_1909_01_T-S0-A200,Wijk E. Huizen,alblasserdam,11327
cell=VT_1909_01_T-S0-A201,Totaal,alblasserdam,11327
cell=VT_1909_01_T-S0-A202,ALEM. C.a.,alem c.a.,10495
cell=VT_1909_01_T-S0-A203,Wijk A. Huizen,alem c.a.,10495
cell=VT_1909_01_T-S0-A204,Wijk B. Huizen,alem c.a.,10495
cell=VT_1909_01_T-S0-A205,Wijk C. Huizen,alem c.a.,10495
cell=VT_1909_01_T-S0-A206,Wijk D. Huizen,alem c.a.,10495
cell=VT_1909_01_T-S0-A207,Schepen,alem c.a.,10495
cell=VT_1909_01_T-S0-A208,Totaal,alem c.a.,10495
cell=VT_1909_01_T-S0-A209,ALKMAAR,alkmaar,10527
cell=VT_1909_01_T-S0-A210,Wijk A. Rijksopvoedingsgesticht,alkmaar,10527
cell=VT_1909_01_T-S0-A211,Wijk A. O.L. Vrouwen-stichting,alkmaar,10527
cell=VT_1909_01_T-S0-A212,Wijk A. Het Huis van Zetten,alkmaar,10527
cell=VT_1909_01_T-S0-A213,Wijk A. Overige huizen,alkmaar,10527
cell=VT_1909_01_T-S0-A214,Wijk B. 't Stads Ziekenhuis,alkmaar,10527
cell=VT_1909_01_T-S0-A215,Wijk B. Burger Weeshuis,alkmaar,10527
cell=VT_1909_01_T-S0-A216,Wijk B. Diaconie (Herv. Gem.),alkmaar,10527
cell=VT_1909_01_T-S0-A217,ALKMAAR (Vervolg),alkmaar,10527
cell=VT_1909_01_T-S0-A218,Wijk B. Huis van Achten,alkmaar,10527
cell=VT_1909_01_T-S0-A219,Wijk B. Overige huizen,alkmaar,10527
cell=VT_1909_01_T-S0-A220,Wijk C. R.-K. Weeshuis,alkmaar,10527
cell=VT_1909_01_T-S0-A221,Wijk C. Prins-stichting,alkmaar,10527
cell=VT_1909_01_T-S0-A222,Wijk C. Overige huizen,alkmaar,10527
cell=VT_1909_01_T-S0-A223,Wijk D. Huizen,alkmaar,10527
cell=VT_1909_01_T-S0-A224,Wijk E. Cellulaire gevangenis,alkmaar,10527
cell=VT_1909_01_T-S0-A225,Wijk E. St. Elisabethgesticht,alkmaar,10527
cell=VT_1909_01_T-S0-A226,Wijk E. Cadettenschool,alkmaar,10527
cell=VT_1909_01_T-S0-A227,Wijk E. Huis van Bewaring,alkmaar,10527
cell=VT_1909_01_T-S0-A228,Wijk E. Overige huizen,alkmaar,10527
cell=VT_1909_01_T-S0-A229,Wijk F. Huizen,alkmaar,10527
cell=VT_1909_01_T-S0-A230,Schepen,alkmaar,10527
cell=VT_1909_01_T-S0-A231,Tijd. Aanw. schepen,alkmaar,10527
cell=VT_1909_01_T-S0-A232,Niet gevonden personen,alkmaar,10527
cell=VT_1909_01_T-S0-A233,Totaal,alkmaar,10527
cell=VT_1909_01_T-S0-A234,ALKEMADE,alkemade,10349
cell=VT_1909_01_T-S0-A235,"Wijk A. Oude Wetering, Huizen",alkemade,10349
cell=VT_1909_01_T-S0-A236,"Wijk B. Roelofarendsveen, St. Jacobusgesticht",alkemade,10349
cell=VT_1909_01_T-S0-A237,Wijk B. Overige huizen,alkemade,10349
cell=VT_1909_01_T-S0-A238,"Wijk C. Nieuwe Wetering, Huizen",alkemade,10349
cell=VT_1909_01_T-S0-A239,"Wijk D. Rjipwetering, Huizen",alkemade,10349
cell=VT_1909_01_T-S0-A240,"Wijk E. Oudade, Huizen",alkemade,10349
cell=VT_1909_01_T-S0-A241,"Wijk F. Kaag, Huizen",alkemade,10349
cell=VT_1909_01_T-S0-A242,Schepen,alkemade,10349
cell=VT_1909_01_T-S0-A243,Tijd. Aanw. schepen,alkemade,10349
cell=VT_1909_01_T-S0-A244,Totaal,alkemade,10349
cell=VT_1909_01_T-S0-A245,AMBT-ALMELO,ambt almelo,11065
cell=VT_1909_01_T-S0-A246,Wijk A. Huizen,ambt almelo,11065
cell=VT_1909_01_T-S0-A247,Wijk B. Huizen,ambt almelo,11065
cell=VT_1909_01_T-S0-A248,Wijk C. Huizen,ambt almelo,11065
cell=VT_1909_01_T-S0-A249,"Wijk D. Gest. ""de Goede Herder""",ambt almelo,11065
cell=VT_1909_01_T-S0-A250,Wijk D. Overige huizen,ambt almelo,11065
cell=VT_1909_01_T-S0-A251,Wijk E. Huizen,ambt almelo,11065
cell=VT_1909_01_T-S0-A252,Wijk F. Huizen,ambt almelo,11065
cell=VT_1909_01_T-S0-A253,Schepen,ambt almelo,11065
cell=VT_1909_01_T-S0-A254,Woonwagens,ambt almelo,11065
cell=VT_1909_01_T-S0-A255,Tijd. Aanw. Woonwagens,ambt almelo,11065
cell=VT_1909_01_T-S0-A256,Totaal,ambt almelo,11065
cell=VT_1909_01_T-S0-A257,STAD-ALMELO,stad almelo,11053
cell=VT_1909_01_T-S0-A258,Het St. Anthonij-gasthuis,stad almelo,11053
cell=VT_1909_01_T-S0-A259,St. Catharinagesticht,stad almelo,11053
cell=VT_1909_01_T-S0-A260,Marechaussee kazerne,stad almelo,11053
cell=VT_1909_01_T-S0-A261,Het Ziekenhuis,stad almelo,11053
cell=VT_1909_01_T-S0-A262,STAD-ALMELO (Vervolg),stad almelo,11053
cell=VT_1909_01_T-S0-A263,Het Weeshuis en de Bewaarschool der N.H. Gemeente,stad almelo,11053
cell=VT_1909_01_T-S0-A264,"Huis van Bewaring, tevens strafgevangenis",stad almelo,11053
cell=VT_1909_01_T-S0-A265,Overige huizen,stad almelo,11053
cell=VT_1909_01_T-S0-A266,Schepen,stad almelo,11053
cell=VT_1909_01_T-S0-A267,Tijd. Aanw. schepen,stad almelo,11053
