File name,Literal,Label,Code
cell=VT_1859_01_H1-S0-C169,buiten de kom. wijk b netersel,BuitenKom
cell=VT_1859_01_H1-S0-C172,buiten de kom. wijk a berkhoek,BuitenKom
cell=VT_1859_01_H1-S0-C173,buiten de kom. wijk a zandhoek,BuitenKom
cell=VT_1859_01_H1-S0-C174,kom. wijk b,BinnenKom
cell=VT_1859_01_H1-S0-C175,buiten de kom. wijk c neerbrukt,BuitenKom
cell=VT_1859_01_H1-S0-C176,buiten de kom. wijk c heivelden,BuitenKom
cell=VT_1859_01_H1-S0-C177,buiten de kom. wijk c molewijk,BuitenKom
cell=VT_1859_01_H1-S0-C178,buiten de kom. wijk c elzen,BuitenKom
cell=VT_1859_01_H1-S0-C179,buiten de kom. wijk c peelsehuis,BuitenKom
cell=VT_1859_01_H1-S0-C180,buiten de kom. wijk c bovensehuis,BuitenKom
cell=VT_1859_01_H1-S0-C181,buiten de kom. wijk c heide,BuitenKom
cell=VT_1859_01_H1-S0-C184,buiten de kom. wijk a,BuitenKom
cell=VT_1859_01_H1-S0-C185,kom. wijk b,BinnenKom
cell=VT_1859_01_H1-S0-C186,buiten de kom. wijk c,BuitenKom
cell=VT_1859_01_H1-S0-C189,kom. borkel,BinnenKom
cell=VT_1859_01_H1-S0-C190,buiten de kom. borkel,BuitenKom
cell=VT_1859_01_H1-S0-C191,buiten de kom. schaft,BuitenKom
cell=VT_1859_01_H1-S0-C194,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C195,buiten de kom. wijk b pastoorsbiest,BuitenKom
cell=VT_1859_01_H1-S0-C196,buiten de kom. wijk b zand,BuitenKom
cell=VT_1859_01_H1-S0-C197,buiten de kom. wijk b drossaardsbiest,BuitenKom
cell=VT_1859_01_H1-S0-C198,buiten de kom. wijk b elzen,BuitenKom
cell=VT_1859_01_H1-S0-C199,buiten de kom. wijk b overbiest,BuitenKom
cell=VT_1859_01_H1-S0-C200,buiten de kom. wijk b elderom,BuitenKom
cell=VT_1859_01_H1-S0-C201,buiten de kom. wijk c hollesteeg,BuitenKom
cell=VT_1859_01_H1-S0-C202,buiten de kom. wijk c volgert,BuitenKom
cell=VT_1859_01_H1-S0-C203,buiten de kom. wijk c manebiest,BuitenKom
cell=VT_1859_01_H1-S0-C204,buiten de kom. wijk c kreupelstraat,BuitenKom
cell=VT_1859_01_H1-S0-C205,buiten de kom. wijk c bagijnenhoek,BuitenKom
cell=VT_1859_01_H1-S0-C206,buiten de kom. wijk c valendries,BuitenKom
cell=VT_1859_01_H1-S0-C209,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C210,buiten de kom. wijk a de koppel,BuitenKom
cell=VT_1859_01_H1-S0-C211,buiten de kom. wijk b munzel,BuitenKom
cell=VT_1859_01_H1-S0-C212,buiten de kom. wijk b langenberg,BuitenKom
cell=VT_1859_01_H1-S0-C213,buiten de kom. wijk b onrooi,BuitenKom
cell=VT_1859_01_H1-S0-C214,buiten de kom. wijk b gemonde,BuitenKom
cell=VT_1859_01_H1-S0-C215,buiten de kom. wijk c kleiner leempde,BuitenKom
cell=VT_1859_01_H1-S0-C216,buiten de kom. wijk c lennisheuvel,BuitenKom
cell=VT_1859_01_H1-S0-C217,buiten de kom. wijk c de roond,BuitenKom
cell=VT_1859_01_H1-S0-C218,buiten de kom. wijk d tongeren,BuitenKom
cell=VT_1859_01_H1-S0-C219,buiten de kom. wijk d luijssel,BuitenKom
cell=VT_1859_01_H1-S0-C220,buiten de kom. wijk d breukelen,BuitenKom
cell=VT_1859_01_H1-S0-C221,buiten de kom. wijk d selissen,BuitenKom
cell=VT_1859_01_H1-S0-C222,buiten de kom. wijk d hal,BuitenKom
cell=VT_1859_01_H1-S0-C225,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C226,kom. wijk b,BinnenKom
cell=VT_1859_01_H1-S0-C227,kom. wijk c,BinnenKom
cell=VT_1859_01_H1-S0-C228,kom. wijk c schepen,BinnenKom
cell=VT_1859_01_H1-S0-C229,kom. wijk d,BinnenKom
cell=VT_1859_01_H1-S0-C231,buiten de kom. wijk i molen,BuitenKom
cell=VT_1859_01_H1-S0-C232,kom. wijk i,BinnenKom
cell=VT_1859_01_H1-S0-C233,buiten de kom. wijk i meemortel,BuitenKom
cell=VT_1859_01_H1-S0-C234,buiten de kom. wijk i bosch,BuitenKom
cell=VT_1859_01_H1-S0-C235,buiten de kom. wijk i schorik,BuitenKom
cell=VT_1859_01_H1-S0-C236,buiten de kom. wijk i broekkant,BuitenKom
cell=VT_1859_01_H1-S0-C237,buiten de kom. wijk i keunenhoek,BuitenKom
cell=VT_1859_01_H1-S0-C238,buiten de kom. wijk ii heesakker,BuitenKom
cell=VT_1859_01_H1-S0-C239,buiten de kom. wijk ii heikant,BuitenKom
cell=VT_1859_01_H1-S0-C240,buiten de kom. wijk ii midbaal,BuitenKom
